,Local,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial
178,"Araraquara, SP",1999-08-07,5,6,23,26,27,53,0,78,5646,0,10281.59,141.51,,0,0,0,SIM,SIM
179,,1999-08-14,6,23,29,39,51,60,0,111,6978,0,15907.98,252.09,,0,0,0,SIM,SIM
180,"São Caetano do Sul, SP",1999-08-21,1,27,33,35,51,55,0,182,11797,0,11127.07,171.02,,0,0,0,SIM,SIM
181,,1999-08-28,3,5,10,28,46,60,0,239,17413,0,9954.78,136.13,,0,0,0,SIM,SIM
182,,1999-09-04,2,7,11,16,40,44,0,306,20677,0,9468.79,139.6,,0,0,0,SIM,SIM
183,"Presidente Prudente, SP",1999-09-11,9,16,21,34,41,60,0,217,15462,0,14699.97,205.53,,0,0,0,SIM,SIM
184,,1999-09-18,17,22,43,46,55,59,0,366,24849,0,12275.86,180.13,,0,0,0,SIM,SIM
185,,1999-09-25,14,23,24,25,26,51,0,352,31164,0,17072.24,192.1,,0,0,0,SIM,SIM
186,,1999-10-02,6,36,41,44,48,58,0,397,39365,0,23058.35,231.66,,0,0,0,SIM,SIM
187,"Salvador, BA",1999-10-10,17,27,34,42,43,46,1,1200,90235,64905517.65,11517.11,152.58,,0,0,0,NAO,SIM
188,"Passo Fundo, RS",1999-10-16,4,15,31,38,41,53,0,61,5485,0,23476.18,260.09,,0,0,0,SIM,SIM
189,,1999-10-24,5,10,21,32,40,42,0,304,21481,0,14923.96,210.41,,0,0,0,SIM,SIM
190,,1999-10-31,1,3,5,23,41,58,1,383,30477,50968412.58,13212.41,165.41,,0,0,0,NAO,SIM
191,,1999-11-06,1,26,28,41,54,60,0,53,4403,0,23005.08,275.87,,0,0,0,SIM,SIM
192,"CASCÁVEL, PR",1999-11-13,4,11,12,19,43,49,0,190,11415,0,7199.87,119.39,,0,0,0,SIM,SIM
193,"ERECHIM, RS",1999-11-20,25,28,32,33,42,43,0,106,7456,0,12862.4,182.18,,0,0,0,SIM,SIM
194,"PONTA GROSSA, PR",1999-11-27,3,9,17,32,37,44,1,339,13819,6370250.64,4005.56,97.89,AM,0,0,0,NAO,SIM
195,"PONTA GROSSA, PR",1999-12-04,7,9,14,17,24,32,0,182,10493,0,5309.16,91.75,,0,0,0,SIM,SIM
196,"MACEIÓ, AL",1999-12-11,5,12,15,19,29,52,0,128,8720,0,8259.15,120.78,,0,0,0,SIM,SIM
197,"MARINGÁ, PR",1999-12-18,1,8,18,23,35,40,0,125,7134,0,8881.02,155.02,,0,0,0,SIM,SIM
198,"SÃO PAULO, SP",1999-12-24,10,16,37,50,52,57,1,34,3143,4915593.2,28316.55,305.16,SP,0,0,0,NAO,SIM
199,,1999-12-31,12,15,19,34,44,51,2,186,13027,8829389.2,11008.48,156.59,,0,0,0,NAO,SIM
200,"BELO HORIZONTE, MG",2000-01-08,5,20,22,30,35,55,1,77,4502,1038373.94,11237.81,191.48,RN,0,0,0,NAO,SIM
201,"VITÓRIA, ES",2000-01-15,12,24,44,45,49,53,0,65,4279,0,12412.65,187.85,,0,0,0,SIM,SIM
202,"GUARAPARI, ES",2000-01-22,11,19,29,44,47,55,0,63,5417,0,14099.33,163.36,,0,0,0,SIM,SIM
203,"GUARUJÁ, SP",2000-01-29,29,31,39,41,51,58,0,32,2400,0,30221.85,401.43,,0,0,0,SIM,SIM
204,"BRASÍLIA, DF",2000-02-05,26,32,40,43,46,54,1,71,6014,4490339.49,15208.03,178.86,RJ,0,0,0,NAO,SIM
